i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,COMP,COMMIT,COLLAB,STANDARD
3,3,3,3,3,3,3,3,3,4,3,4,3,3,12.00,9.00,13.15,10.00
3,3,3,3,3,3,3,3,3,3,3,3,3,3,12.00,9.00,12.34,9.00
4,4,3,3,3,2,3,3,2,3,3,4,3,3,14.00,8.00,11.27,10.00
4,3,3,4,4,3,3,4,4,3,4,4,4,3,14.00,10.00,15.00,11.00
4,4,4,3,4,4,4,3,3,4,4,4,4,4,15.00,12.00,14.00,12.00
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16.00,12.00,16.00,12.00
2,3,3,4,2,3,3,4,3,3,4,4,4,4,12.00,8.00,14.00,12.00
2,2,3,2,3,4,3,3,2,4,4,4,4,4,9.00,10.00,13.00,12.00
3,3,3,4,3,4,4,4,4,4,4,2,3,2,13.00,11.00,16.00,7.00
3,2,1,2,2,3,2,1,2,2,3,3,3,3,8.00,7.00,8.00,9.00
4,3,2,3,3,3,4,2,3,3,3,3,3,4,12.00,10.00,11.00,10.00
4,4,4,4,4,4,4,4,3,4,4,3,3,4,16.00,12.00,15.00,10.00
4,3,3,3,3,3,3,3,2,2,3,4,3,3,13.00,9.00,10.00,10.00
4,3,2,3,2,2,4,2,2,2,2,3,2,2,12.00,8.00,8.00,7.00
3,3,3,3,3,2,3,2,3,3,2,4,3,4,12.00,8.00,10.00,11.00
4,3,2,3,3,2,4,2,3,3,4,3,3,4,12.00,9.00,12.00,10.00
3,3,2,3,2,2,2,2,3,3,2,2,2,2,11.00,6.00,10.00,6.00
4,3,3,3,2,2,3,3,3,3,3,3,3,3,13.00,7.00,12.26,9.00
4,3,4,3,2,2,3,3,3,4,3,4,4,3,14.00,7.00,13.00,10.58
3,3,2,3,2,3,3,2,2,3,3,3,3,3,11.00,8.00,10.00,9.32
3,2,3,3,2,2,2,2,2,2,2,3,3,3,11.00,6.00,8.00,9.00
4,3,3,4,4,3,3,3,3,3,3,3,2,2,14.00,10.00,12.00,7.00
3,3,3,3,2,3,3,3,2,3,3,4,3,4,12.00,8.00,11.00,11.00
4,3,1,3,1,2,3,2,2,3,2,3,2,3,11.00,6.00,9.00,8.00
4,4,2,4,4,3,4,2,3,3,3,2,2,2,14.00,11.00,11.00,6.00
3,3,3,2,2,3,3,3,3,3,3,3,3,3,11.00,8.00,12.00,9.00
3,4,3,2,2,2,2,4,2,3,3,3,3,3,12.00,6.00,12.00,9.00
3,3,3,3,2,2,3,4,4,4,1,3,3,3,12.00,7.00,13.00,9.00
3,2,2,2,2,1,2,3,2,3,2,3,3,2,9.00,5.00,10.00,8.00
4,3,3,3,3,3,3,1,3,3,1,1,3,2,13.00,9.00,8.00,6.00
3,3,3,3,3,3,3,3,3,3,3,4,3,4,12.00,9.00,12.00,11.00
3,3,3,3,2,2,3,3,3,3,2,4,3,3,12.00,7.00,11.00,10.00
4,4,4,2,3,3,3,3,3,3,4,4,3,3,14.00,9.00,13.00,10.00
4,4,3,3,4,4,4,3,3,4,4,3,3,3,14.00,12.00,14.00,9.00
4,4,4,4,2,2,4,4,4,4,4,4,4,4,16.00,8.00,16.00,12.00
4,3,4,3,3,3,3,3,3,4,3,4,4,3,14.00,9.00,13.00,11.00
4,4,4,4,3,3,4,3,3,4,3,3,3,3,16.00,10.00,13.00,9.00
4,4,4,4,2,2,3,3,3,4,3,4,3,3,16.00,7.00,13.00,10.00
4,3,3,4,2,2,4,4,4,4,4,4,4,3,14.00,8.00,16.00,11.00
4,4,3,3,2,2,3,2,4,3,2,4,4,4,14.00,7.00,11.00,12.00
4,4,4,4,4,3,3,4,4,4,4,4,4,3,16.00,10.00,16.00,11.00
4,4,4,4,4,4,4,3,3,4,4,4,4,4,16.00,12.00,14.00,12.00
4,4,4,4,3,3,3,4,3,4,3,4,3,3,16.00,9.00,14.00,10.00
4,4,4,4,3,3,3,4,4,3,3,4,3,4,16.00,9.00,14.00,11.00
3,3,3,3,3,4,3,3,2,3,4,4,4,4,12.00,10.00,12.00,12.00
4,3,3,3,3,3,3,3,2,3,3,4,2,3,13.00,9.00,11.00,9.00
4,4,4,4,4,3,3,4,3,4,3,4,3,3,16.00,10.00,14.00,9.87
4,4,3,4,4,3,3,2,3,4,4,3,4,4,15.00,10.00,13.00,11.00
3,4,2,2,3,2,3,2,3,1,3,3,3,4,11.00,8.00,9.00,10.00
3,3,3,3,3,3,3,3,3,3,3,4,3,3,12.00,9.00,12.00,10.00
4,4,3,3,3,3,4,3,3,4,3,4,4,4,14.00,10.00,13.00,12.00
4,4,4,4,4,4,4,4,4,4,4,4,3,4,16.00,12.00,16.00,11.00
3,3,3,4,4,4,3,2,3,3,3,4,3,4,13.00,11.00,11.00,11.00
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16.00,12.00,16.00,12.00
4,3,4,4,3,3,4,3,4,4,4,3,3,4,15.00,10.00,15.00,10.00
4,4,4,4,4,4,4,3,4,4,4,4,4,4,16.00,12.00,15.00,12.00
4,4,3,4,3,2,3,3,3,3,3,4,3,3,15.00,8.00,12.00,10.00
3,3,3,4,2,2,3,2,3,4,3,4,4,3,13.00,7.00,12.00,11.00
3,3,3,3,4,3,3,3,3,4,4,3,3,3,12.00,10.00,14.00,9.00
4,3,2,3,4,3,3,3,3,3,3,4,4,3,12.00,10.00,12.00,11.00
3,4,3,3,4,4,4,3,3,4,4,4,4,4,13.00,12.00,14.00,12.00
4,4,4,4,3,4,3,4,4,4,4,4,4,4,16.00,10.00,16.00,12.00
3,4,4,3,4,3,3,3,4,3,4,4,3,4,14.00,10.00,14.13,11.00
4,3,3,4,4,4,3,3,4,3,4,4,4,3,14.00,11.00,14.13,11.00
4,4,4,4,3,3,3,4,4,4,3,4,4,4,16.00,9.21,15.00,12.00
3,3,2,3,3,3,3,2,3,3,2,3,3,4,11.00,8.96,10.00,10.00
4,4,3,3,3,3,3,3,3,3,3,3,3,3,14.00,9.00,12.00,9.00
4,4,3,3,2,3,3,3,3,3,3,4,4,4,14.00,8.00,12.00,12.00
4,3,4,3,1,2,2,2,3,3,4,4,4,4,14.00,5.00,12.00,12.00
4,4,4,4,3,2,3,4,4,4,4,4,4,3,16.00,8.00,16.00,11.00
4,4,3,3,3,3,3,3,3,3,3,4,4,4,14.00,9.00,12.00,12.00
4,3,4,4,3,4,4,3,3,4,4,4,4,4,15.00,11.00,14.00,12.00
4,4,4,4,3,3,3,3,4,4,4,4,3,4,16.00,9.00,15.00,11.00
4,4,3,3,2,3,3,3,3,3,4,4,4,4,14.00,8.00,13.00,12.00
4,4,3,3,3,3,4,4,4,4,3,4,4,4,14.00,9.97,15.00,12.00
4,4,3,3,3,3,3,4,3,4,4,4,4,3,14.22,9.00,15.00,11.00
4,3,4,3,4,4,3,3,3,3,3,4,3,4,14.22,11.00,12.00,11.00
4,4,3,3,4,3,3,3,3,3,3,4,3,4,14.16,10.00,12.00,11.00
3,3,3,4,4,4,4,3,3,3,4,4,4,4,13.00,12.00,13.00,12.00
3,4,3,4,4,4,4,4,4,4,4,4,4,4,14.00,12.00,16.00,12.00
4,4,3,3,4,3,3,3,3,3,4,4,4,4,14.00,10.00,13.00,12.00
4,4,3,3,3,4,4,3,4,3,4,4,3,4,14.00,11.00,14.00,11.00
4,4,4,4,3,4,4,3,4,4,4,4,4,4,16.00,11.00,15.00,12.00
4,4,4,3,3,4,4,4,4,4,4,4,4,4,15.00,11.00,16.00,12.00
4,4,4,4,4,3,4,3,4,4,4,4,4,4,16.00,11.00,15.00,12.00
4,4,4,4,4,3,4,4,3,4,4,4,3,4,16.00,11.00,15.00,11.00
4,4,4,4,3,3,4,4,4,4,4,4,4,4,16.00,10.00,16.00,12.00
4,4,4,4,3,3,4,4,4,3,3,4,3,3,16.00,10.00,14.00,10.00
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16.00,12.00,16.00,12.00
4,4,4,4,4,3,4,4,4,4,4,4,4,4,16.00,11.00,16.00,12.00
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16.00,12.00,16.00,12.00
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16.00,12.00,16.00,12.00
3,4,4,4,4,4,4,4,4,4,4,3,4,4,15.00,12.00,16.00,11.00
3,3,2,3,3,3,3,4,3,3,3,3,3,3,11.00,9.00,13.00,9.00
4,4,4,4,3,3,4,3,3,4,3,4,3,3,16.00,10.00,13.00,10.00
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16.00,12.00,16.00,12.00
4,4,3,4,4,3,4,4,4,4,4,4,4,4,15.00,11.00,16.00,12.00
3,3,2,3,3,3,3,3,3,3,4,4,4,4,11.00,9.00,13.00,12.00
3,3,3,4,3,3,4,4,3,3,4,4,4,4,13.00,10.00,14.00,12.00
4,3,4,4,3,2,3,3,3,4,4,4,4,4,15.00,8.00,14.00,12.00
4,4,3,4,3,3,3,3,4,3,3,4,3,4,15.00,9.00,13.00,11.00
4,4,4,4,4,3,3,3,2,4,3,4,4,4,16.00,10.00,12.00,12.00
4,4,3,3,4,4,3,4,4,4,4,4,4,4,14.00,11.00,16.00,12.00
4,4,4,4,4,4,4,4,4,4,4,3,3,3,16.00,12.00,16.00,9.00
4,4,4,4,3,3,3,4,3,3,3,4,3,3,16.00,9.00,13.00,10.00
4,3,3,3,3,3,3,3,3,3,3,3,3,3,13.00,9.00,12.00,9.00
4,4,3,3,4,4,4,4,3,3,3,4,3,3,14.00,12.00,13.00,10.00
4,4,3,3,3,3,4,3,3,4,3,4,4,4,14.00,10.00,13.00,12.00
4,4,4,4,3,3,3,4,4,4,4,3,4,4,16.00,9.00,16.00,11.00
3,3,4,3,4,3,4,3,4,3,4,4,4,4,13.00,11.00,14.00,12.00
4,4,3,4,4,4,4,4,4,4,4,4,3,4,15.00,12.00,16.00,11.00
4,4,4,4,4,3,4,4,4,4,4,4,4,4,16.00,11.00,16.00,12.00
4,4,3,4,4,4,4,4,4,4,4,4,3,4,15.00,12.00,16.00,11.00
4,4,4,4,3,4,4,4,4,4,3,4,4,4,16.00,11.00,15.00,12.00
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16.00,12.00,16.00,12.00
4,4,4,4,3,2,3,4,4,4,4,4,3,3,16.00,8.00,16.00,10.00
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16.00,12.00,16.00,12.00
4,4,4,4,4,4,4,4,3,4,4,4,3,3,16.00,12.00,15.00,10.00
3,4,3,3,3,3,3,3,3,3,3,4,3,3,13.00,9.00,12.00,10.00
4,3,3,3,2,3,4,3,2,4,2,4,4,4,13.00,9.00,11.00,12.00
3,4,3,4,3,3,3,4,4,4,3,4,4,4,14.00,9.00,15.00,12.00
4,4,3,3,4,4,4,3,4,4,3,3,3,4,14.00,12.00,14.00,10.00
4,4,3,3,3,3,4,3,3,3,3,4,3,4,14.00,10.00,12.00,11.00
4,4,4,4,4,4,3,4,4,4,4,4,4,4,16.00,11.00,16.00,12.00
4,3,3,4,4,4,4,4,4,4,4,3,3,2,14.00,12.00,16.00,8.00
4,4,4,4,3,3,3,4,2,3,3,4,4,2,16.00,9.00,12.00,10.00
4,4,4,4,4,4,4,4,2,4,4,4,4,4,16.00,12.00,14.00,12.00
4,4,4,4,3,3,3,4,4,3,4,3,4,3,16.00,9.00,15.00,10.00
4,4,4,4,3,3,4,3,3,3,3,4,4,4,16.00,10.00,12.00,12.00
4,4,4,3,4,4,4,3,2,4,3,4,4,4,15.00,12.00,12.00,12.00
3,4,4,4,3,4,4,4,4,4,4,4,4,3,15.00,11.00,16.00,11.00
4,4,4,4,4,3,3,3,4,4,4,4,4,4,16.00,10.00,15.00,12.00
4,4,4,4,4,4,4,3,3,4,4,4,4,4,16.00,12.00,14.00,12.00
4,4,3,4,4,4,4,4,3,4,4,3,4,3,15.00,12.00,15.00,10.00
4,4,3,4,4,4,4,3,3,4,4,4,4,4,15.00,12.00,14.00,12.00
4,4,4,4,4,4,4,3,3,4,4,3,3,4,16.00,12.00,14.00,10.00
4,3,4,3,4,4,3,2,2,2,2,4,3,4,14.00,11.00,8.00,11.00
3,3,3,3,4,3,3,3,4,3,3,3,2,2,12.00,10.00,13.00,7.00
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16.00,12.00,16.00,12.00
4,2,3,2,4,3,3,3,4,4,2,4,2,3,11.00,10.00,13.00,9.00
4,4,3,3,4,3,3,3,3,3,3,3,3,3,14.00,10.00,12.00,9.00
3,3,3,3,3,3,2,3,3,3,3,3,3,3,12.00,8.00,12.00,9.00
4,2,3,2,3,3,3,3,3,4,3,3,4,4,11.00,9.00,13.00,11.00
4,3,4,3,3,3,4,4,4,4,4,4,4,4,14.00,10.00,16.00,12.00
4,3,3,4,3,3,2,2,2,3,3,4,3,3,14.00,8.00,10.00,10.00
4,4,3,3,4,3,4,3,2,4,3,4,4,3,14.00,11.00,12.00,11.00
4,3,3,4,3,3,4,3,3,3,4,4,4,4,14.00,10.00,13.00,12.00
3,4,3,3,3,3,4,4,3,3,3,4,4,4,13.00,10.00,13.00,12.00
4,3,3,4,3,3,3,4,4,2,4,4,1,3,14.00,9.00,14.00,8.00
4,4,3,2,3,3,3,3,2,2,4,4,4,4,13.00,9.00,11.00,12.00
4,3,3,3,3,3,3,3,3,3,3,3,3,4,13.00,9.00,12.00,10.00
